"","user_name","user_verified","date","text","hashtags","hashtags_count","retweets","favorites","compound_score","positive_score","negative_score","neutral_score","popularity_score","popularity_score_ctg","overall_sentiment","tweet_age"
"1","Rachel Roh","False",2020-12-20,"Same folks said daikon paste could treat a cytokine storm ","['PfizerBioNTech']","1",0,0,0.4019,0.231,0,0.769,0,"LOW","POS",8
"2","Albert Fong","False",2020-12-13,"While the world has been on the wrong side of history this year, hopefully, the biggest vaccination effort we've ev… ","","1",1,1,-0.1027,0.113,0.13,0.756,1,"LOW","NEG",1
"3","eli🇱🇹🇪🇺👌","False",2020-12-12," Russian vaccine is created to last 2-4 years… ","['coronavirus', 'SputnikV', 'AstraZeneca', 'PfizerBioNTech', 'Moderna', 'Covid_19']","3",0,0,0.25,0.222,0,0.778,0,"LOW","POS",0
"4","Charles Adler","True",2020-12-12,"Facts are immutable, Senator, even when you're not ethically sturdy enough to acknowledge them. (1) You were born i… ","","1",446,2129,0,0,0,1,866.75,"HIGH","NEU",0
"5","Citizen News Channel","False",2020-12-12,"Explain to me again why we need a vaccine ","['whereareallthesickpeople', 'PfizerBioNTech']","2",0,0,0,0,0,1,0,"LOW","NEU",0
"6","Dee","False",2020-12-12,"Does anyone have any useful advice/guidance for whether the COVID vaccine is safe whilst breastfeeding?… ","","1",0,0,0.7003,0.309,0,0.691,0,"LOW","POS",0
"7","Gunther Fehlinger","False",2020-12-12,"it is a bit sad to claim the fame for success of on patriotic competition between USA, Canada, UK and… ","['vaccination']","1",0,4,0.5423,0.247,0.116,0.637,1,"LOW","POS",0
"8","Dr.Krutika Kuppalli","True",2020-12-12,"There have not been many bright days in 2020 but here are some of the best 1. winning ","['BidenHarris', 'Election2020']","2",2,22,0.8933,0.384,0.063,0.553,7,"AVG","POS",0
"9","Erin Despas","False",2020-12-12,"Covid vaccine; You getting it? ","['CovidVaccine', 'covid19', 'PfizerBioNTech', 'Moderna']","2",2,1,0,0,0,1,1.75,"AVG","NEU",0
"10","Ch.Amjad Ali","False",2020-12-12," States will start getting Monday, says ","['CovidVaccine', 'COVID19Vaccine', 'US', 'pakustv', 'NYC', 'Healthcare', 'GlobalGoals']","3",0,0,0,0,0,1,0,"LOW","NEU",0
"11","Tamer Yazar","False",2020-12-12,"while deaths are closing in on the 300,000 mark... millions of people wait ! - The first U… ","['PfizerBioNTech', 'Vaccine']","2",0,0,0,0,0,1,0,"LOW","NEU",0
"12","VoiceM","False",2020-12-12," Best wishes to the US… ","['COVID19', 'CovidVaccine', 'vaccine', 'Corona', 'PfizerBioNTech', 'bbcnews', 'NYTimes', 'BBCNews']","3",0,0,0.7003,0.659,0,0.341,0,"LOW","POS",0
"13","WION","True",2020-12-12,"The agency also released new information for health care providers and for patients as the US shipped millions of d… ","","1",0,18,0.4939,0.144,0,0.856,4.5,"AVG","POS",0
"14","Dr.Krutika Kuppalli","True",2020-12-12,"For all the women and healthcare providers who have been asking about the safety of the ","['PfizerBioNTech']","1",48,82,0.4215,0.157,0,0.843,56.5,"HIGH","POS",0
"15","Opoyi","False",2020-12-12,"""Expect 145 sites across all the states to receive vaccine on Monday, another 425 sites on Tuesday,"" said the offic… ","","1",0,0,0,0,0,1,0,"LOW","NEU",0
"16","City A.M.","True",2020-12-12,"Trump announces rollout 'in less than 24 hours' The first Americans will be vaccinated against… ","['vaccine']","1",0,1,0,0,0,1,0.25,"LOW","NEU",0
"17","STOPCOMMONPASS.ORG","False",2020-12-12,"UPDATED: &amp; - Part Two ","['YellowFever', 'COVID19', 'ImmunityPassports', 'SARSCoV2', 'PfizerBioNtech', 'Britain', 'December']","3",2,2,0,0,0,1,2,"AVG","NEU",0
"18","ILKHA","True",2020-12-12,"Coronavirus: Iran reports 8,201 new cases, 221 deaths in the last 24 hours ","['Iran', 'coronavirus', 'PfizerBioNTech']","2",3,5,0,0,0,1,3.5,"AVG","NEU",0
"19","Braderz73🌹#GTTO 🇪🇺 🇬🇧","False",2020-12-12,". will rake in billions from its expensive but refuses to cut the price for lowe… ","['CovidVaccine']","1",3,3,-0.3919,0,0.15,0.85,3,"AVG","NEG",0
