"","X","user_name","user_verified","date","text","hashtags","hashtags_count","retweets","favorites","compound_score","positive_score","negative_score","neutral_score","popularity_score","popularity_score_ctg","overall_sentiment","tweet_age"
"4",4,"Charles Adler","True","2020-12-12","Facts are immutable, Senator, even when you're not ethically sturdy enough to acknowledge them. (1) You were born i… ","",1,446,2129,0,0,0,1,866.75,"HIGH","NEU",0
"8",8,"Dr.Krutika Kuppalli","True","2020-12-12","There have not been many bright days in 2020 but here are some of the best 1. winning ","['BidenHarris', 'Election2020']",2,2,22,0.8933,0.384,0.063,0.553,7,"AVG","POS",0
"9",9,"Erin Despas","False","2020-12-12","Covid vaccine; You getting it? ","['CovidVaccine', 'covid19', 'PfizerBioNTech', 'Moderna']",2,2,1,0,0,0,1,1.75,"AVG","NEU",0
"14",14,"Dr.Krutika Kuppalli","True","2020-12-12","For all the women and healthcare providers who have been asking about the safety of the ","['PfizerBioNTech']",1,48,82,0.4215,0.157,0,0.843,56.5,"HIGH","POS",0
"15",15,"Opoyi","False","2020-12-12","""Expect 145 sites across all the states to receive vaccine on Monday, another 425 sites on Tuesday,"" said the offic… ","",1,0,0,0,0,0,1,0,"LOW","NEU",0
"17",17,"STOPCOMMONPASS.ORG","False","2020-12-12","UPDATED: &amp; - Part Two ","['YellowFever', 'COVID19', 'ImmunityPassports', 'SARSCoV2', 'PfizerBioNtech', 'Britain', 'December']",3,2,2,0,0,0,1,2,"AVG","NEU",0
"18",18,"ILKHA","True","2020-12-12","Coronavirus: Iran reports 8,201 new cases, 221 deaths in the last 24 hours ","['Iran', 'coronavirus', 'PfizerBioNTech']",2,3,5,0,0,0,1,3.5,"AVG","NEU",0
"19",19,"Braderz73🌹#GTTO 🇪🇺 🇬🇧","False","2020-12-12",". will rake in billions from its expensive but refuses to cut the price for lowe… ","['CovidVaccine']",1,3,3,-0.3919,0,0.15,0.85,3,"AVG","NEG",0
"24",24,"BOOM Live","True","2020-12-12","The US Food and Drug Administration (FDA) has granted emergency use authorization to Pfizer-BioNTech's mRNA… ","",1,1,5,-0.1531,0.114,0.148,0.739,2,"AVG","NEG",0
"31",31,"Andy Thomas","False","2020-12-12"," 6 deaths so far. It's only death, nothing to worry about then 🤔 ","['CovidVaccines', 'Pfizervaccine']",2,0,2,-0.3599,0.131,0.213,0.656,0.5,"LOW","NEG",0
"32",32,"Isabel Winnwa","False","2020-12-12"," Please don’t spread fake news! There is no evidence that these cases are linked to the… ","",1,0,3,-0.5093,0.11,0.268,0.622,0.75,"LOW","NEG",0
"36",36,"Shahjhan Malik | #WearAMask","False","2020-12-12","An immigrant Muslim couple find the COVID-19 Vaccine. ","['CovidVaccine', 'PfizerBioNTech', 'Pfizervaccine', 'PfizerProud']",2,2,37,0,0,0,1,10.75,"HIGH","NEU",0
"38",38,"Farooq Anees","False","2020-12-12","Ladies and Gentlemen, now we have experts in each and every household of 🤦‍♂️","['CovidVaccine', 'Pakistan', 'PfizerBioNTech', 'oxfordvaccine']",2,0,0,0,0,0,1,0,"LOW","NEU",0
"52",52,"Dr. Taha Khan","False","2020-12-14","I’ve never been so excited to get a vaccine 💉💉💉 ","['CovidVaccine', 'PfizerBioNTech', 'VaccinesSaveLives', 'VaccinesWork']",2,1,10,0.4795,0.221,0,0.779,3.25,"AVG","POS",2
"56",56,"Nicole Van Groningen, MD","False","2020-12-14","Concerned about the side effects of the vaccine? Check out my recap 👇🏼 ","['PfizerBioNTech', 'COVID19']",2,1,7,0,0,0,1,2.5,"AVG","NEU",2
"58",58,"Kris LaGrange","False","2020-12-14","Members of the delivered the first this morning ","['COVID19Vaccine', 'teamsters', 'UPS', 'COVID19', 'Pfizer']",3,8,18,0,0,0,1,10.5,"HIGH","NEU",2
"62",62,"H24","False","2020-12-14"," New York state administered its first non-trial vaccine this morning to a health care worker. The P… ","['PfizerBioNTech']",1,3,3,0.4939,0.167,0,0.833,3,"AVG","POS",2
"66",66,"4 Luv Of Lambs, Lurchers, Hedgehogs","False","2020-12-14"," ?? are Germany based. ?..lets just hope the small numbers are… ","['PfizerBioNTech']",1,0,1,0.533,0.256,0,0.744,0.25,"LOW","POS",2
"67",67,"H24","False","2020-12-14","ICU nurse Sandra Lindsay said she was 'very proud,' after becoming one of the first Americans to receive the Pfizer… ","",1,3,3,0.5256,0.152,0,0.848,3,"AVG","POS",2
"72",72,"Joanbeam3000","False","2020-12-14"," Odd verb choice there, Doug. You were on hand to observe -- to welcome, as Anita Anand put it -- under… ","",1,0,7,0.5994,0.234,0.087,0.679,1.75,"AVG","POS",2
"73",73,"India Grace McAlister","False","2020-12-14","The first Ontarian was vaccinated just minutes later. A PSW, Anita Quidangen in Toronto. ","['PfizerBioNTech']",1,0,1,0,0,0,1,0.25,"LOW","NEU",2
"75",75,"Flying Magazine","False","2020-12-14","Over the weekend, the issued guidance for pilots following use of the new for… ","['FAA', 'PfizerBioNTech', 'vaccine']",2,1,5,0,0,0,1,2,"AVG","NEU",2
"78",78,"Joanbeam3000","False","2020-12-14"," Or how about Erin O'Toole's hand-picked Health Critic, going even further… ","",1,17,26,-0.2732,0,0.174,0.826,19.25,"HIGH","NEG",2
"86",86,"Evan J. Lancaster","False","2020-12-14"," will get 25K doses of Vaccine by Wednesday Dec. 15, confirms. ","['OrangeCounty', 'PfizerBioNTech']",2,0,1,0,0,0,1,0.25,"LOW","NEU",2
"91",91,"Aru Sivananthan 🇬🇧 🇦🇺","False","2020-12-14","Privileged be offered the vaccine. I would encourage everyone to take it up. It’ll help protect peo… ","['PfizerBioNTech']",1,1,4,0.8885,0.469,0,0.531,1.75,"AVG","POS",2
"93",93,"Jennifer Robson","False","2020-12-14","Half way there ","['COVID19', 'CovidVaccine', 'vaccination', 'Pfizervaccine', 'PfizerBioNTech']",3,0,4,0,0,0,1,1,"LOW","NEU",2
"94",94,"Francesco Moscone","False","2020-12-14","Can’t wait to take my kids towards herd immunity 🐑 🐑 🥳🥳 ","['vaccines', 'PfizerBioNTech']",2,0,0,0.6369,0.286,0,0.714,0,"LOW","POS",2
"95",95,"India Blooms","False","2020-12-14","Toronto to receive Ontario's 1st doses of Pfizer COVID-19 vaccine today ","['Ontario']",1,0,0,0,0,0,1,0,"LOW","NEU",2
"104",104,"Katie Crowfoot","False","2020-12-14","Received my first dose of the today. I feel very privileged &amp; lucky to have this to p… ","['CovidVaccine', 'PfizerBioNTech']",2,3,25,0.7397,0.281,0,0.719,8.5,"AVG","POS",2
"105",105,"IANS Tweets","True","2020-12-14","With several countries including the US and the UK now approving the use of ","['PfizerBioNTech', 'COVID19Vaccine']",2,2,5,0,0,0,1,2.75,"AVG","NEU",2
"106",106,"Katie","False","2020-12-14","The hospital I work at has received the vaccine. Our IV room made the first five doses to be given in the state. I’… ","",1,1,2,0,0,0,1,1.25,"AVG","NEU",2
"107",107,"Maryam Monsef","True","2020-12-14","Last night, welcomed the first 30K doses of the to 🇨🇦. Although we have a l… ","['PfizerBioNTech', 'vaccine']",2,3,19,0.34,0.138,0,0.862,7,"AVG","POS",2
"108",108,"Melissa GD M.D.","False","2020-12-14","Historical moment of the administered at @ Pitt… ","['FirstDose', 'PfizerBioNTech', 'COVID_19', 'Vaccine', 'UPMC']",3,0,0,0,0,0,1,0,"LOW","NEU",2
"109",109,"Sirf News","False","2020-12-14"," A nurse in New York City on Monday became the first person in the United States to receive the corona… ","['BreakingNews']",1,0,0,0.4215,0.128,0,0.872,0,"LOW","POS",2
"110",110,"AFP News Agency","True","2020-12-14"," A nurse in New York City on Monday became the first person in the United States to receive the coronavirus… ","['UPDATE']",1,7,21,0.4215,0.128,0,0.872,10.5,"HIGH","POS",2
"111",111,"Nicole Osei","False","2020-12-14"," has received its first shipment of vaccine. Front line healthcare… ","['NEW', 'PfizerBioNTech', 'COVID19']",2,1,2,0,0,0,1,1.25,"AVG","NEU",2
"118",118,"Can OZDEMIR","False","2020-12-14","1st doses of vaccine arrive in By ","['PfizerBioNTech', 'COVID19', 'Canada']",2,0,0,0,0,0,1,0,"LOW","NEU",2
"122",122,"FinanceTweeter","False","2020-12-14","From Tuna To - How Container Freezers Used To Ship Are Given A New Role -… ","['Fish', 'COVID19', 'Vaccine', 'Seafood']",2,0,1,-0.0258,0,0.068,0.932,0.25,"LOW","NEU",2
"123",123,"Kristen Rogers MD MPH","False","2020-12-14","The end is in sight, many of my coworkers and I are getting our first doses of the to… ","['PfizerBioNTech', 'CovidVaccine']",2,6,24,0,0,0,1,10.5,"HIGH","NEU",2
"126",126,"عماد الصالح","False","2020-12-14","WELL DONE USA 🇺🇲👍 ","['PfizerBioNTech', 'Pfizervaccine', 'COVID19']",2,0,0,0.4278,0.362,0,0.638,0,"LOW","POS",2
"129",129,"LatestLY","True","2020-12-14"," Approves Pfizer Vaccine, First Shipment Expected by End of Says PM Lee Hsien Loong… ","['Singapore', 'COVID19', 'December']",2,0,2,0.4019,0.172,0,0.828,0.5,"LOW","POS",2
"130",130,"Palli Thordarson","False","2020-12-14","Here are the lipids used in lipid nanoparticle used the BioNTech/Pfizer The t… ","['mRNA', 'PfizerBioNTech', 'CovidVaccine']",2,6,42,0,0,0,1,15,"HIGH","NEU",2
"133",133,"Marc Siegel MD","False","2020-12-14","First Pfizer coronavirus vaccine doses set to arrive at hospitals ","['PfizerBioNTech']",1,3,21,0,0,0,1,7.5,"AVG","NEU",2
"136",136,"Ju #AntiTory⚘ #AntiTrump","False","2020-12-14"," Oh great - thought you wouldnt be able to see her before Xmas - btw I heard on the radio that Shropsh… ","",1,0,1,0.6249,0.163,0,0.837,0.25,"LOW","POS",2
