"","X","user_name","user_verified","date","text","hashtags","hashtags_count","retweets","favorites","compound_score","positive_score","negative_score","neutral_score","popularity_score","popularity_score_ctg","overall_sentiment","tweet_age"
"915",915,"India.com","True","2020-12-18","The video shows dancing to American singer Lizzo’s song to celebrate the… ","['HealthcareWorkers', 'GoodAsHell']",2,0,1,0.5719,0.252,0,0.748,0.25,"LOW","POS",6
"4958",4958,"Joyce Leyden","False","2021-01-29","2️⃣/2️⃣ 💉 Thrilled to have the second dose 💪 Let’s do this 2021 🍭 making sure recipients sugar levels are… ","",1,0,18,0.6369,0.215,0,0.785,4.5,"AVG","POS",48
"457",457,"Calvin Swine","False","2020-12-15"," among the first in line for the ","['Canada', 'PfizerBioNTech', 'vaccine', 'cdnpoli']",2,0,1,0,0,0,1,0.25,"LOW","NEU",3
"4636",4636,"Harry Spoelstra","False","2021-01-26","Do you know what, the is making a mess, a big mess of their roll-out, surprised....not me! Politics an… ","['EU', 'vaccine']",2,0,6,-0.6476,0,0.237,0.763,1.5,"AVG","NEG",45
"3668",3668,"Debbie Wardhaugh","False","2021-01-15","Had mine wednesday 💉💉 after administering to patients 💪🏻 ","['feelinglucky', 'covidvaccine', 'PfizerBioNTech']",2,2,25,0,0,0,1,7.75,"AVG","NEU",34
"1672",1672,"Kevin Romanchik, BSN, RN","False","2020-12-28","One of the best Christmas gifts I’ve ever received. Did my part this weekend to protect my family, friends, patient… ","",1,0,6,0.872,0.368,0,0.632,1.5,"AVG","POS",16
"4443",4443,"The Daily Star","True","2021-01-23","A group of doctors have written to chief medical officer to tell him to cut the gap between dos… ","['British', 'England']",2,1,7,-0.2732,0,0.104,0.896,2.5,"AVG","NEG",42
"6230",6230,"Siva Sai","False","2021-02-25","A New Variant From Raises Increased Concerns For Containment &amp; ","['COVIDー19', 'Nigeria', 'vaccination', 'DHPSP']",2,7,11,0.2732,0.189,0,0.811,8,"AVG","POS",75
"2732",2732,"Matthew D. Park","False","2021-01-08","Obligatory vaccination picture. Get vaccinated, if and when given the opportunity. ","['PfizerBioNTech']",1,0,10,0.4215,0.219,0,0.781,2.5,"AVG","POS",27
"3698",3698,"ᴛᴇʀʀᴏʀʙʏᴛᴇ 🔴","False","2021-01-21","Why is the UK Gov going against the advice of vaccine manufacturers regarding the interval between doses?… ","",1,0,2,0,0,0,1,0.5,"LOW","NEU",40
"363",363,"😷 Abbas Husain","True","2020-12-15","This little vial carries so much. 🙏🏽to all the scientists who worked tirelessly to get this out. ","['vaccinated']",1,0,18,0,0,0,1,4.5,"AVG","NEU",3
"659",659,"LindseyRoyston","False","2020-12-18","Listen. The medical community isn't immune, but the rest of us don't have access to 1.5 second care .… ","",1,1,11,0.5935,0.189,0.063,0.747,3.5,"AVG","POS",6
"5675",5675,"David Mclenachan","False","2021-02-16","Really super efficient operation at the today. No waiting! No queues! Great to be part of the team… ","",1,7,39,0.6427,0.345,0.195,0.46,15,"HIGH","POS",66
"4987",4987,"MOD Gibraltar","False","2021-01-30","A tremendous effort once again by multiple agencies to get the third consignment of the vaccine to… ","['PfizerBioNTech']",1,64,336,0,0,0,1,132,"HIGH","NEU",49
"7247",7247,"Knut Moe","False","2021-03-23","Great morning giving 2nd dose of vaccine to 85+ age group. Many asking when they can meet up with… ","['PfizerBiontech']",1,13,87,0.7579,0.277,0,0.723,31.5,"HIGH","POS",101
"6316",6316,"Violently Happy","False","2021-02-27","Many thanks to the administering vaccines at Medgar Evers College ! Amazingly efficient s… ","",1,0,9,0.7419,0.344,0,0.656,2.25,"AVG","POS",77
"2308",2308,"A. Trillm","False","2021-01-05"," don't worry, Germany gets 18,6% of each of the vaccines the EU ordered, not a single dose… ","",1,0,1,0.3412,0.131,0,0.869,0.25,"LOW","POS",24
"4839",4839,"Kapil Handa","False","2021-01-29"," results stand at 96% to compare with what has been published by or or… ","['novavax', 'COVID19', 'Moderna', 'PfizerBioNTech']",2,0,0,0,0,0,1,0,"LOW","NEU",48
"7146",7146,"European Research Council (ERC)","True","2021-03-21","""We started to make a vaccine for the individual but ended up making one for mankind."" ERC grantee expl… ","['UgurSahin']",1,6,46,0,0,0,1,16,"HIGH","NEU",99
"5187",5187,"Sharp Shooter🏹🎯","False","2021-02-04"," Waste of our taxpayer dollars. We want the Viraleze nasal spray by Starpharma. 99.99% effe… ","",1,0,1,-0.3612,0.076,0.164,0.76,0.25,"LOW","NEG",54
"1660",1660,"MalaysiaNow","False","2020-12-30","People aged 70 and above will get the vaccine starting in February. ","['mnownews', 'covid19', 'singapore', 'vaccine']",2,0,0,0,0,0,1,0,"LOW","NEU",18
"3568",3568,"Melissa coleman","False","2021-01-14","First Pfizer covid 19 vaccine dose done ✅ very proud! ","['PfizerBioNTech', 'CovidVaccine']",2,0,0,0.5697,0.235,0,0.765,0,"LOW","POS",33
